model,NDCG@10,Recall@10,Precision@10,MRR@10
ltr_score,0.3498590697742037,0.5317460317460317,0.05317460317460315,0.2944318468127992
country_score,0.2456081181295846,0.29365079365079366,0.02936507936507937,0.2313366087175611
als_score,0.13381880999135118,0.23809523809523808,0.02380952380952381,0.10236835474930714
trending_score,0.12659053564228936,0.30952380952380953,0.03095238095238095,0.0709530108339632
popularity_score,0.08464777910180692,0.24603174603174602,0.024603174603174603,0.041046233308138065
cf_score,0.030293149119008742,0.0873015873015873,0.00873015873015873,0.014203829680020158
tfidf_score,0.028276219103692785,0.06349206349206349,0.006349206349206348,0.017633534895439656
semantic_score,0.012971137531724719,0.023809523809523808,0.002380952380952381,0.009952128999748048
