Model,Precision@10,Recall@10,HitRate@10,NDCG@10,MAP@10,Coverage@10
Trending,0.011195335276967932,0.1119533527696793,0.1119533527696793,0.08690420367047892,0.07932227312693785,26
PopularityTrending,0.011195335276967932,0.1119533527696793,0.1119533527696793,0.08559686599927213,0.07781132861307789,26
CountryPopularity,0.01020408163265306,0.10204081632653061,0.10204081632653061,0.05365582563842222,0.03797954555972049,100
ALS,0.008571428571428572,0.08571428571428572,0.08571428571428572,0.043834195021414696,0.03116918876394095,1004
Popularity,0.009854227405247815,0.09854227405247813,0.09854227405247813,0.042206832746703046,0.024942153732241193,30
WeightedPopularity,0.009504373177842565,0.09504373177842565,0.09504373177842565,0.03774053472593717,0.021362163913184323,26
ItemCF,0.0026822157434402334,0.026822157434402333,0.026822157434402333,0.01114978750221378,0.006596325605071961,2206
Hybrid,0.0018075801749271138,0.018075801749271137,0.018075801749271137,0.00954596535283233,0.0068601045860521076,121
TFIDF,0.001982507288629738,0.019825072886297375,0.019825072886297375,0.008896628358820907,0.005561571567402471,13
